"platform","title","metric_views","reactions","comments","url","date"
"dev.to","Most of Your CRM Is Dead. Prove It Before You Buy ","2","0","0","https://dev.to/automate-archit/most-of-your-crm-is-dead-prove-it-before-you-buy-another-lead-1oil","2026-08-30 "
"dev.to","Your Website Chatbot Is Talking to Nobody. The Das","0","0","0","https://dev.to/automate-archit/your-website-chatbot-is-talking-to-nobody-the-dashboard-proves-it-33md","2026-08-30 "
"dev.to","How a Weekend Python Script Saved a CA Firm 209 Ho","11","0","0","https://dev.to/automate-archit/how-a-weekend-python-script-saved-a-ca-firm-209-hours-during-itr-season-2on0","2026-08-29 "
"dev.to","What is MCP Protocol? The USB Port for AI Agents","0","0","0","https://dev.to/automate-archit/what-is-mcp-protocol-the-usb-port-for-ai-agents-3ib0","2026-08-29 "
"dev.to","Your customers are on WhatsApp. Your automation is","10","0","0","https://dev.to/automate-archit/your-customers-are-on-whatsapp-your-automation-is-built-for-slack-4la6","2026-08-28 "
"dev.to","Zapier vs Make vs n8n: your run volume decides, no","2","1","0","https://dev.to/automate-archit/zapier-vs-make-vs-n8n-your-run-volume-decides-not-the-feature-table-ko7","2026-08-28 "
"dev.to","The ₹0 Automation Stack: Enterprise-Grade Workflow","16","2","1","https://dev.to/automate-archit/the-0-automation-stack-enterprise-grade-workflows-without-paying-for-saas-2645","2026-08-27 "
"dev.to","How I Cut a Client's AI API Bill from Rs 85,000 to","10","0","0","https://dev.to/automate-archit/how-i-cut-a-clients-ai-api-bill-from-rs-85000-to-rs-12000-a-month-36k8","2026-08-27 "
"dev.to","Build an Offline GSTIN Validator in 62 Lines of Py","4","0","0","https://dev.to/automate-archit/build-an-offline-gstin-validator-in-62-lines-of-python-7df","2026-08-17 "
"dev.to","Build a PAN & Aadhaar Redaction Tool in 63 Lines o","33","0","0","https://dev.to/automate-archit/build-a-pan-aadhaar-redaction-tool-in-63-lines-of-python-50db","2026-08-14 "
"dev.to","Build a Telegram Expense Tracker Bot in 58 Lines o","20","0","0","https://dev.to/automate-archit/build-a-telegram-expense-tracker-bot-in-58-lines-of-python-3alk","2026-08-12 "
"dev.to","Build a GST Invoice Data Extractor in 45 Lines of ","20","0","0","https://dev.to/automate-archit/build-a-gst-invoice-data-extractor-in-45-lines-of-python-1510","2026-08-10 "
"dev.to","The ₹0 Automation Stack: Enterprise-Grade Workflow","17","0","0","https://dev.to/automate-archit/the-0-automation-stack-enterprise-grade-workflows-without-paying-for-saas-32gl","2026-06-21 "
"dev.to","How a Weekend Python Script Saved a CA Firm 209 Ho","23","0","0","https://dev.to/automate-archit/how-a-weekend-python-script-saved-a-ca-firm-209-hours-during-itr-season-4k90","2026-06-21 "
"dev.to","Claude Code vs Cursor vs Copilot: An Honest Review","17","0","0","https://dev.to/automate-archit/claude-code-vs-cursor-vs-copilot-an-honest-review-after-40-production-automations-1oee","2026-06-21 "
"dev.to","The CFO's AI Playbook: 5 Finance Automations Every","10","0","0","https://dev.to/automate-archit/the-cfos-ai-playbook-5-finance-automations-every-indian-business-should-run-in-2026-2ld8","2026-06-21 "
"dev.to","Stock Screener Automation: How a Trader Replaced ₹","24","1","0","https://dev.to/automate-archit/stock-screener-automation-how-a-trader-replaced-47kmonth-advisory-with-a-python-script-43bn","2026-06-21 "
"dev.to","Why I Tell Clients NOT to Automate Everything — Th","21","1","0","https://dev.to/automate-archit/why-i-tell-clients-not-to-automate-everything-the-over-automation-trap-2p17","2026-06-21 "
"dev.to","Build a GST Invoice Parser in 70 Lines of Python","27","0","0","https://dev.to/automate-archit/build-a-gst-invoice-parser-in-70-lines-of-python-h50","2026-06-20 "
"dev.to","Build a GST Invoice Generator in 87 Lines of Pytho","23","1","0","https://dev.to/automate-archit/build-a-gst-invoice-generator-in-87-lines-of-python-106m","2026-06-20 "
"dev.to","Claude Code vs Cursor vs Copilot: An Honest Review","92","0","0","https://dev.to/automate-archit/claude-code-vs-cursor-vs-copilot-an-honest-review-after-40-production-automations-516m","2026-06-20 "
"dev.to","How a Weekend Python Script Saved a CA Firm 209 Ho","60","1","0","https://dev.to/automate-archit/how-a-weekend-python-script-saved-a-ca-firm-209-hours-during-itr-season-3lng","2026-06-20 "
"dev.to","How I Cut a Client's AI API Bill from ₹85K to ₹12K","30","0","0","https://dev.to/automate-archit/how-i-cut-a-clients-ai-api-bill-from-85k-to-12kmonth-without-losing-quality-24hm","2026-06-20 "
"dev.to","The CFO's AI Playbook: 5 Finance Automations Every","35","0","0","https://dev.to/automate-archit/the-cfos-ai-playbook-5-finance-automations-every-indian-business-should-run-in-2026-4ai8","2026-06-20 "
"dev.to","Stock Screener Automation: How a Trader Replaced ₹","53","0","0","https://dev.to/automate-archit/stock-screener-automation-how-a-trader-replaced-47kmonth-advisory-with-a-python-script-20lo","2026-06-20 "
"dev.to","Why I Tell Clients NOT to Automate Everything — Th","36","0","0","https://dev.to/automate-archit/why-i-tell-clients-not-to-automate-everything-the-over-automation-trap-1po9","2026-06-20 "
"dev.to","The ₹0 Automation Stack: Enterprise-Grade Workflow","30","2","1","https://dev.to/automate-archit/the-0-automation-stack-enterprise-grade-workflows-without-paying-for-saas-51b5","2026-06-20 "
"dev.to","I Built an AI That Turns 2 Hours of Compliance Pap","30","0","0","https://dev.to/automate-archit/i-built-an-ai-that-turns-2-hours-of-compliance-paperwork-into-3-minutes-full-architecture-teardown-20l5","2026-06-20 "
"dev.to","Build a GST Invoice Generator in 70 Lines of Pytho","18","1","0","https://dev.to/automate-archit/build-a-gst-invoice-generator-in-70-lines-of-python-4b67","2026-06-03 "
"dev.to","Build a UPI QR Code Generator with Logo in 46 Line","86","1","1","https://dev.to/automate-archit/build-a-upi-qr-code-generator-with-logo-in-46-lines-of-python-1ghh","2026-06-01 "
"dev.to","Build a GST Invoice Parser in 60 Lines of Python","72","3","0","https://dev.to/automate-archit/build-a-gst-invoice-parser-in-60-lines-of-python-4d0b","2026-06-01 "
"dev.to","Build a UPI Transaction Categorizer in 95 Lines of","26","4","1","https://dev.to/automate-archit/build-a-upi-transaction-categorizer-in-95-lines-of-python-2g8f","2026-05-06 "
"dev.to","Build a Bulk PDF Invoice Renamer in 55 Lines of Py","72","3","0","https://dev.to/automate-archit/build-a-bulk-pdf-invoice-renamer-in-55-lines-of-python-5f4i","2026-05-01 "
"dev.to","Build a GST Invoice PDF Extractor in 53 Lines of P","37","4","0","https://dev.to/automate-archit/build-a-gst-invoice-pdf-extractor-in-53-lines-of-python-3a8n","2026-04-29 "
"dev.to","Build a UPI Transaction Reconciliation Tool in 52 ","15","4","0","https://dev.to/automate-archit/build-a-upi-transaction-reconciliation-tool-in-52-lines-of-python-5h0d","2026-04-27 "
"dev.to","Build a GST Invoice Generator in 80 Lines of Pytho","46","7","0","https://dev.to/automate-archit/build-a-gst-invoice-generator-in-80-lines-of-python-f0","2026-04-26 "
"dev.to","Build Your First AI Agent in 60 Lines of Python — ","148","7","1","https://dev.to/automate-archit/build-your-first-ai-agent-in-60-lines-of-python-no-framework-needed-4368","2026-04-25 "
"dev.to","How I Saved a Mumbai CA Firm ₹18 Lakh/Year by Auto","179","10","1","https://dev.to/automate-archit/how-i-saved-a-mumbai-ca-firm-18-lakhyear-by-automating-gst-invoice-reconciliation-3fdj","2026-04-22 "
"dev.to","Automate Your UPI Transaction Tracking: 60 Lines o","21","8","0","https://dev.to/automate-archit/automate-your-upi-transaction-tracking-60-lines-of-python-free-works-offline-5gcm","2026-04-21 "
"dev.to","I Built a Claude Code Sub-Agent That Processes 2,0","322","16","3","https://dev.to/automate-archit/i-built-a-claude-code-sub-agent-that-processes-2000-invoices-a-day-heres-the-exact-setup-30dp","2026-04-20 "
"dev.to","Week in AI Recap: 7 Shifts That Actually Matter fo","39","5","0","https://dev.to/automate-archit/week-in-ai-recap-7-shifts-that-actually-matter-for-indian-developers-april-2026-41j2","2026-04-19 "
"dev.to","Weekend Project: Build a ₹0 Amazon India Price Tra","36","7","0","https://dev.to/automate-archit/weekend-project-build-a-0-amazon-india-price-tracker-in-50-lines-of-python-1f23","2026-04-18 "
"dev.to","How I Built an Automated PDF Invoice Parser in 75 ","193","4","4","https://dev.to/automate-archit/how-i-built-an-automated-pdf-invoice-parser-in-75-lines-of-python-1aj","2026-04-16 "
"dev.to","How I Automated Invoice Processing for a ₹3 Crore ","37","5","0","https://dev.to/automate-archit/how-i-automated-invoice-processing-for-a-3-crore-business-saved-120-hoursmonth-1c4j","2026-04-15 "
"dev.to","7 AI Developments From This Week That Developers S","150","4","2","https://dev.to/automate-archit/7-ai-developments-from-this-week-that-developers-should-actually-care-about-april-2026-58po","2026-04-12 "
"dev.to","[Boost]","1","0","0","https://dev.to/automate-archit/-3456","2026-04-11 "
"dev.to","Build a Desktop File Organizer in 35 Lines of Pyth","334","5","3","https://dev.to/automate-archit/build-a-desktop-file-organizer-in-35-lines-of-python-weekend-project-3o4h","2026-04-11 "
"dev.to","How I Built an Automated WhatsApp Invoice System f","78","6","0","https://dev.to/automate-archit/how-i-built-an-automated-whatsapp-invoice-system-for-my-client-in-3-hours-28dd","2026-04-09 "
"dev.to","I Had My First Automated Trade Running in 47 Minut","120","5","0","https://dev.to/automate-archit/i-had-my-first-automated-trade-running-in-47-minutes-heres-the-exact-setup-3g79","2026-04-08 "
"dev.to","How I Automated Invoice Processing for a ₹2Cr/Year","52","5","0","https://dev.to/automate-archit/how-i-automated-invoice-processing-for-a-2cryear-business-in-3-days-54pm","2026-04-08 "
"linkedin","agency-workflows","","","","linkedin","2026-08-28"
"linkedin","aiagents-buildinpublic","","","","","2026-08-29"
"linkedin","vendor-ownership-trading-bot","","","","","2026-08-30"

"ROLLUP","platform","posts","total_views","","",""
"","dev.to","50","2738","","",""
"","linkedin","3","0","","",""
