date,time_ist,type,slug,status,link,views_1h,comments_1h,views_6h,comments_6h,views_24h,comments_24h,views_now,comments_now,likes_now,saves_now,shares_now,avg_watch_s,views_pct_1h_to_6h,views_pct_6h_to_24h,views_pct_24h_to_now,variant,reason,commentary
12 Aug '26 (Wed),01:43 IST,reel,ai-engineering-from-scratch,published,https://www.instagram.com/reel/Db6azO0Cj6d/,,,,,,,137,0,0,2,0,2.0,,,,,,steady; 2 save(s)
12 Aug '26 (Wed),01:50 IST,reel,mempalace,published,https://www.instagram.com/reel/Db6aUcKjNqj/,,,,,,,51,0,0,0,0,3.0,,,,,,underperformed — the hook likely did not stop the scroll
12 Aug '26 (Wed),09:06 IST,reel,deepseek-reasonix,published,https://www.instagram.com/reel/Db7NjKJEmK4/,,,,,,,119,0,1,1,1,2.6,,,,,,steady; 1 save(s)
12 Aug '26 (Wed),14:07 IST,reel,orca,published,https://www.instagram.com/reel/Db7v9b8jgOz/,,,,,,,152,1,1,1,1,4.8,,,,,,1 comment(s) — the DM funnel fired; steady; 1 save(s)
14 Aug '26 (Fri),10:30 IST,carousel,(carousel slot),MISSED,,,,,,,,,,,,,,,,,,seeded from ledgers,
14 Aug '26 (Fri),19:05 IST,reel,hyperframes,published,https://www.instagram.com/reel/DcBbt9AiV5D/,,,,,,,14,0,0,0,0,2.8,,,,,,underperformed — the hook likely did not stop the scroll
14 Aug '26 (Fri),22:53 IST,carousel,subscription-cull,published,https://www.instagram.com/p/DcB13OrmE6T/,,,,,,,26,0,1,0,0,,,,,,,underperformed — the hook likely did not stop the scroll
15 Aug '26 (Sat),14:04 IST,reel,whatsapp-gap,published,https://www.instagram.com/reel/DcDeBBVnT6e/,,,,,,,28,0,0,0,0,3.3,,,,,,underperformed — the hook likely did not stop the scroll
15 Aug '26 (Sat),19:58 IST,carousel,the-third-follow-up-message,published,https://www.instagram.com/p/DcEGoLmmoMn/,,,,,,,19,0,2,0,0,,,,,,,underperformed — the hook likely did not stop the scroll
16 Aug '26 (Sun),10:34 IST,carousel,agent-postmortem,published,https://www.instagram.com/p/DcFq0twGslQ/,,,,,,,10,0,3,0,0,,,,,,,underperformed — the hook likely did not stop the scroll
16 Aug '26 (Sun),14:01 IST,reel,subscription-cull,published,https://www.instagram.com/reel/DcGCerAlZNE/,,,,,,,22,0,1,0,0,9.2,,,,,,underperformed — the hook likely did not stop the scroll
17 Aug '26 (Mon),10:30 IST,carousel,(carousel slot),MISSED,,,,,,,,,,,,,,,,,,missing 1 carousel · carousel: ERROR: public/ig/c-whatsapp-gap already exists. Pass --force to overwrite.,
17 Aug '26 (Mon),14:04 IST,reel,the-third-follow-up-message,published,https://www.instagram.com/reel/DcInosSjhoM/,,,,,,,120,0,1,0,0,3.0,,,,,,steady
